Protein ID,Disorder,Linear B-cell Epitopes,Tandem Repeats,Non-syn SNPs,Protein Length,Tajimas D (Guinea),Tajimas D (Gambia)
PF3D7_0103200,2.53,4.38,0.0,0.46,434,-1.47,-0.91
PF3D7_0103300,27.89,19.17,9.04,0.0,918,-0.65,-0.2
PF3D7_0103400,27.72,18.46,15.06,0.99,1620,-2.34,-1.73
PF3D7_0103500,19.53,11.03,9.05,0.6,1823,-1.53,-0.78
PF3D7_0103600,40.94,17.41,8.47,2.8,1534,0.52,0.98
PF3D7_0103700,9.35,9.35,0.0,0.37,535,-1.93,-1.66
PF3D7_0103800,2.11,5.79,0.0,0.26,380,-99.0,-99.0
PF3D7_0103900,12.35,16.17,1.57,0.0,575,-99.0,-99.0
PF3D7_0104000,6.13,6.13,0.0,0.0,163,-99.0,-99.0
PF3D7_0104100,2.65,4.68,1.77,5.44,791,1.01,0.76
PF3D7_0104200,27.47,18.24,0.0,0.86,466,-1.57,-1.21
PF3D7_0104300,70.53,30.38,10.03,1.66,3499,-2.2,-1.74
PF3D7_0104400,7.1,8.97,0.0,0.0,535,-99.0,-99.0
PF3D7_0104600,13.07,8.36,2.69,1.79,1339,-1.98,-2.15
PF3D7_0104700,45.71,13.22,4.64,0.56,711,-2.24,-1.73
PF3D7_0104800,27.9,13.34,0.0,0.0,577,-99.0,-99.0
PF3D7_0105100,13.99,12.59,0.0,0.0,143,-99.0,-99.0
PF3D7_0105200,5.28,1.76,0.0,0.0,568,-99.0,-99.0
PF3D7_0105300,1.23,3.7,0.0,0.0,162,-99.0,-99.0
PF3D7_0105400.1,14.29,5.71,0.0,0.0,140,-99.0,-99.0
PF3D7_0105400.2,15.04,6.02,0.0,0.0,133,-99.0,-99.0
PF3D7_0105500,5.81,13.08,0.0,0.0,344,-99.0,-99.0
PF3D7_0105600,20.67,9.4,0.0,0.16,1224,-2.46,-1.71
PF3D7_0105700,56.77,33.2,11.75,0.59,3063,-2.04,-1.78
PF3D7_0105800,11.9,13.7,0.0,0.0,832,-2.12,-1.26
PF3D7_0105900,19.42,6.7,0.0,0.0,448,-99.0,-99.0
PF3D7_0106000,42.84,22.89,14.21,1.3,922,-1.86,-2.1
PF3D7_0106100,6.53,9.14,0.0,0.0,383,-99.0,-99.0
PF3D7_0106200,17.21,12.56,0.0,0.47,215,-99.0,-99.0
PF3D7_0106300,7.82,12.95,1.47,0.16,1228,-1.68,-1.29
PF3D7_0106400,25.64,23.72,0.0,0.0,156,-99.0,-99.0
PF3D7_0106500,24.88,25.3,10.56,0.71,1411,-2.43,-2.02
PF3D7_0106600,41.81,38.8,10.37,0.0,299,-99.0,-99.0
PF3D7_0106700,59.83,28.03,10.04,1.12,1434,-1.52,-0.71
PF3D7_0106800,20.09,13.08,0.0,0.0,214,-1.7,-1.73
PF3D7_0106900,11.17,13.76,5.59,0.82,734,-2.09,-1.92
PF3D7_0107000,19.64,27.38,0.0,0.0,168,-99.0,-99.0
PF3D7_0107100,7.37,9.02,0.0,0.37,543,-1.86,-1.55
PF3D7_0107200,0.59,8.61,0.0,0.0,337,-99.0,-99.0
PF3D7_0107300,2.76,6.52,0.0,0.0,399,-99.0,-99.0
PF3D7_0107400,2.61,2.61,0.0,0.0,153,-99.0,-99.0
PF3D7_0107500,13.33,18.57,2.11,1.02,1470,-1.43,-1.99
PF3D7_0107600,17.87,9.4,9.78,1.5,1595,-2.32,-2.05
PF3D7_0107700,5.38,6.5,4.04,0.9,446,-1.5,-1.55
PF3D7_0107800,24.74,19.06,8.76,0.32,1233,-2.11,-1.9
PF3D7_0107900,4.36,6.18,0.0,0.36,275,-99.0,-99.0
PF3D7_0108100,13.87,7.01,2.29,0.15,656,-1.47,-1.57
PF3D7_0108300,60.74,25.48,9.37,0.9,2221,-2.21,-1.74
PF3D7_0108400.1,8.18,5.45,0.0,0.3,330,-99.0,-99.0
PF3D7_0108400.2,11.49,12.07,0.0,0.0,174,-99.0,-99.0
PF3D7_0108500,100.0,80.45,52.51,2.79,179,-99.0,-99.0
PF3D7_0108600,12.09,11.11,0.0,0.33,306,-2.21,-2.1
PF3D7_0108700,40.89,30.12,17.45,2.43,1152,-1.9,-1.93
PF3D7_0108800,8.33,7.5,0.0,0.0,360,-1.58,-1.51
PF3D7_0109000,6.25,18.3,0.0,0.0,224,-99.0,-99.0
PF3D7_0109100,8.16,7.29,0.0,0.0,1029,-99.0,-99.0
PF3D7_0109200,11.64,8.62,0.0,0.0,232,-99.0,-99.0
PF3D7_0109300,5.59,0.31,0.0,0.62,322,-99.0,-99.0
PF3D7_0109400,3.61,7.23,0.0,0.6,166,-99.0,-99.0
PF3D7_0109500,1.94,7.1,0.0,0.0,155,-99.0,-99.0
PF3D7_0109600,30.67,18.0,0.0,0.0,150,-1.59,-1.89
PF3D7_0109700,27.87,13.11,0.0,0.0,183,-99.0,-99.0
PF3D7_0109800,9.57,8.35,0.0,0.0,575,-99.0,-99.0
PF3D7_0109900.1,3.42,4.73,1.97,0.0,761,-99.0,-99.0
PF3D7_0109900.2,3.03,5.91,2.16,0.0,694,-99.0,-99.0
PF3D7_0110000,13.25,19.23,0.0,0.0,234,-0.92,-1.08
PF3D7_0110100,18.42,20.45,25.37,3.43,934,-1.67,-1.74
PF3D7_0110200,11.89,19.58,0.0,0.0,143,-99.0,-99.0
PF3D7_0110400,25.7,28.11,0.0,0.4,249,-99.0,-99.0
PF3D7_0110500,44.9,29.8,14.97,1.44,2285,-2.54,-2.01
PF3D7_0110600,43.8,23.27,8.89,2.11,1710,-2.23,-1.99
PF3D7_0110700,17.26,17.49,0.0,0.0,446,-99.0,-99.0
PF3D7_0110800,14.71,8.17,0.0,0.0,367,-99.0,-99.0
PF3D7_0110900,1.61,3.23,0.0,0.0,186,-99.0,-99.0
PF3D7_0111000,49.58,17.61,9.62,0.84,1664,-2.4,-2.35
PF3D7_0111300,32.48,12.85,1.29,0.69,1167,-2.17,-1.9
PF3D7_0111400,7.1,16.02,6.13,0.0,718,-99.0,-99.0
PF3D7_0111500,20.49,7.82,0.0,0.0,371,-1.7,-1.73
PF3D7_0111600,4.84,3.23,0.0,0.0,248,-99.0,-99.0
PF3D7_0111800,33.06,27.58,8.55,0.0,620,-2.11,-1.7
PF3D7_0111900,20.99,8.64,0.0,0.0,81,-99.0,-99.0
PF3D7_0112000,6.26,5.37,0.0,0.0,447,-99.0,-99.0
PF3D7_0112100,9.2,9.82,0.0,0.0,163,-99.0,-99.0
PF3D7_0112200,27.28,8.56,0.0,0.05,1822,-1.91,-1.67
PF3D7_0112800,9.85,11.82,0.0,1.48,203,-0.08,-0.04
PF3D7_0112900,1.06,7.45,0.0,0.53,188,-99.0,-99.0
PF3D7_0113000,95.99,61.66,24.96,3.57,673,-0.09,-0.51
PF3D7_0113100,51.19,13.44,4.12,3.41,1555,-99.0,-99.0
PF3D7_0113200,66.55,39.19,12.67,2.03,592,-0.53,0.85
PF3D7_0113300,14.9,30.65,15.75,2.74,584,-0.49,1.32
PF3D7_0113400,30.86,23.2,16.01,2.09,431,-2.11,-2.18
PF3D7_0113700,20.15,12.19,0.0,0.25,402,-99.0,-99.0
PF3D7_0113800,49.34,23.83,1.45,7.31,2900,1.28,1.0
PF3D7_0113900,0.41,13.17,0.0,0.82,243,0.45,0.03
PF3D7_0114000,75.94,54.89,27.07,1.44,1463,-1.89,-1.36
PF3D7_0114100,0.87,8.3,0.0,13.54,229,-99.0,-99.0
PF3D7_0114200,78.1,35.45,26.8,5.48,347,-99.0,-99.0
PF3D7_0114500,0.91,9.09,0.0,10.0,110,1.74,1.36
PF3D7_0114700,7.74,10.84,4.64,0.93,323,-99.0,-99.0
PF3D7_0114800,0.95,2.86,0.0,1.43,210,-99.0,-99.0
PF3D7_0115000,36.78,11.27,1.66,6.65,1925,-99.0,-99.0
PF3D7_0115100,25.6,11.95,0.0,1.02,293,-99.0,-99.0
PF3D7_0115200,3.26,5.16,0.0,23.37,368,-99.0,-99.0
PF3D7_0115300,1.19,13.1,0.0,13.99,336,-99.0,-99.0
PF3D7_0115400,9.97,13.95,0.0,5.65,301,-99.0,-99.0
PF3D7_0115600,3.17,11.35,8.18,24.54,379,-99.0,-99.0
PF3D7_0115700,53.61,36.63,3.4,18.43,2203,-99.0,-99.0
PF3D7_0200100,44.65,35.94,1.05,20.22,1711,-99.0,-99.0
PF3D7_0200200,8.98,8.08,0.0,8.38,334,-99.0,-99.0
PF3D7_0200300,20.45,14.77,0.0,7.73,440,-99.0,-99.0
PF3D7_0200400,12.83,12.17,0.0,13.82,304,-99.0,-99.0
PF3D7_0200500,4.32,10.27,0.0,20.81,370,-99.0,-99.0
PF3D7_0200600,8.53,8.53,4.27,10.67,375,-99.0,-99.0
PF3D7_0200700,2.73,7.27,4.55,6.97,330,-99.0,-99.0
PF3D7_0200800,25.35,21.41,0.0,3.1,355,-99.0,-99.0
PF3D7_0201000,2.88,14.42,0.0,22.44,312,-99.0,-99.0
PF3D7_0201200,6.74,11.52,0.0,0.0,356,-99.0,-99.0
PF3D7_0201300,9.84,16.39,0.0,16.07,305,-99.0,-99.0
PF3D7_0201400,3.21,15.38,0.0,0.64,156,-1.06,-0.59
PF3D7_0201500,11.42,15.35,10.63,1.57,254,-99.0,-99.0
PF3D7_0201600,30.93,16.29,3.71,2.27,485,1.95,1.42
PF3D7_0201700,36.89,16.44,2.0,0.67,900,-1.45,-1.89
PF3D7_0201800,26.6,21.85,3.56,0.48,421,-99.0,-99.0
PF3D7_0201900,98.12,62.93,69.81,0.66,2441,-0.6,-0.54
PF3D7_0202000,71.1,63.61,10.4,0.15,654,-1.14,-0.67
PF3D7_0202100,30.13,13.25,0.0,1.66,302,-0.6,-0.53
PF3D7_0202200,18.28,20.69,0.0,0.0,290,-99.0,-99.0
PF3D7_0202300,1.5,3.37,0.0,0.0,267,-1.91,-1.55
PF3D7_0202400,85.4,51.93,26.01,0.34,1192,-2.5,-1.84
PF3D7_0202500,37.74,30.19,0.0,0.0,106,-99.0,-99.0
PF3D7_0202600.1,74.57,15.36,14.02,0.0,1341,-99.0,-99.0
PF3D7_0202600.2,74.63,15.45,14.03,1.87,1340,-99.0,-99.0
PF3D7_0202700,12.64,7.99,0.0,0.19,538,-0.91,-1.12
PF3D7_0202900,1.13,0.75,0.0,0.0,266,-1.93,-2.16
PF3D7_0203000,80.24,13.04,9.15,1.11,1979,-2.55,-1.65
PF3D7_0203100,33.84,20.16,11.19,0.4,2485,-2.47,-2.47
PF3D7_0203200,26.04,15.58,13.02,0.59,507,-1.42,-0.15
PF3D7_0203300,17.36,9.09,0.0,0.0,242,-99.0,-99.0
PF3D7_0203400,26.37,59.34,0.0,0.0,91,-1.58,-1.38
PF3D7_0203600,18.11,22.99,2.2,0.31,635,-0.17,-1.0
PF3D7_0203700,56.49,43.51,27.56,0.91,439,-1.7,-1.39
PF3D7_0203800,10.15,3.14,0.0,0.0,542,-1.91,-1.76
PF3D7_0203900,5.03,17.16,11.27,0.35,577,-1.57,-1.68
PF3D7_0204000,9.91,12.55,0.0,0.13,797,-2.02,-1.92
PF3D7_0204100,38.34,16.38,5.84,0.87,2295,-2.21,-1.92
PF3D7_0204200,21.74,12.68,0.0,0.0,276,-99.0,-99.0
PF3D7_0204300,14.8,8.48,2.73,0.0,696,-1.92,-1.39
PF3D7_0204400,9.35,4.67,0.0,0.0,107,-1.86,-1.76
PF3D7_0204500,0.25,0.74,0.0,0.0,405,-0.64,0.63
PF3D7_0204600,22.05,13.38,6.4,0.59,1188,-1.97,-1.62
PF3D7_0204700,7.14,8.13,0.0,0.0,504,-0.33,-0.39
PF3D7_0204800,9.13,6.49,0.0,0.24,416,-1.86,-1.46
PF3D7_0204900,22.6,7.63,0.0,0.0,354,-99.0,-99.0
PF3D7_0205000,66.14,24.02,15.75,2.95,508,-2.07,-1.81
PF3D7_0205100,55.46,13.62,18.72,0.85,705,-1.93,-1.46
PF3D7_0205300,9.42,16.4,2.76,1.14,616,-1.95,-1.83
PF3D7_0205400,10.07,5.69,0.0,0.22,457,-99.0,-99.0
PF3D7_0205500,6.06,1.52,0.0,0.0,132,-99.0,-99.0
PF3D7_0205600,10.87,8.35,0.0,0.0,635,-99.0,-99.0
PF3D7_0205700.1,3.9,14.63,0.0,0.0,205,-99.0,-99.0
PF3D7_0205700.2,4.5,13.51,0.0,0.0,222,-99.0,-99.0
PF3D7_0205800,4.17,6.67,0.0,0.0,120,-99.0,-99.0
PF3D7_0205900,15.53,13.77,0.0,0.0,966,-2.02,-2.0
PF3D7_0206000,67.68,16.75,2.64,0.4,1516,-2.35,-1.96
PF3D7_0206100,19.28,10.84,0.0,0.8,249,-99.0,-99.0
PF3D7_0206200,14.69,7.08,0.0,0.0,565,-99.0,-99.0
PF3D7_0206500,60.86,9.26,19.5,0.77,1436,-2.18,-1.63
PF3D7_0206700,0.64,3.4,0.0,0.0,471,-0.68,-0.01
PF3D7_0206800,72.43,68.75,11.76,0.74,272,-1.45,-0.65
PF3D7_0206900.1,72.43,43.75,0.0,0.0,272,-99.0,-99.0
PF3D7_0206900.2,76.63,45.59,0.0,0.0,261,-99.0,-99.0
PF3D7_0207000,63.6,53.68,0.0,4.41,272,-0.62,-0.63
PF3D7_0207100,29.86,14.1,4.13,0.97,1745,-1.82,-0.98
PF3D7_0207200,27.5,3.75,0.0,0.0,160,-99.0,-99.0
PF3D7_0207300,11.05,18.7,0.0,1.33,679,-0.54,-0.47
PF3D7_0207400,20.72,20.93,0.0,0.32,946,-1.46,-1.85
PF3D7_0207500,23.18,22.6,0.0,0.19,1031,-1.65,-1.94
PF3D7_0207600,29.09,28.79,2.71,1.81,997,-0.46,-1.3
PF3D7_0207700,26.82,26.72,1.66,1.25,962,-1.2,-0.97
PF3D7_0207800,19.57,25.38,0.0,0.11,930,-2.02,-1.55
PF3D7_0207900,31.95,30.32,0.0,1.0,1105,-1.68,-1.29
PF3D7_0208000,25.96,15.19,0.0,0.2,994,-1.95,-1.29
PF3D7_0208100.1,31.19,18.78,3.47,0.0,1789,-99.0,-99.0
PF3D7_0208100.2,32.2,18.73,3.47,1.17,1789,-99.0,-99.0
PF3D7_0208200,35.0,17.67,0.0,0.0,300,-2.3,-1.55
PF3D7_0208300,27.47,3.77,10.6,0.39,1802,-2.35,-2.34
PF3D7_0208400,31.04,17.06,6.32,1.34,2010,-2.58,-2.31
PF3D7_0208500,9.49,7.3,0.0,0.73,137,-99.0,-99.0
PF3D7_0208600,43.37,36.35,13.45,0.2,498,-99.0,-99.0
PF3D7_0208700.2,0.45,1.35,0.0,0.0,222,-99.0,-99.0
PF3D7_0208800,14.89,13.19,0.0,0.43,235,-99.0,-99.0
PF3D7_0208900,21.25,9.97,0.0,0.08,2508,-2.33,-1.99
PF3D7_0209000,35.09,17.26,2.93,0.38,3135,-0.93,-0.91
PF3D7_0209100,17.38,19.15,0.0,0.15,679,-1.34,-1.74
PF3D7_0209200,10.91,7.27,0.0,0.0,275,-1.98,-0.45
PF3D7_0209300,4.58,6.67,0.0,0.0,240,-99.0,-99.0
PF3D7_0209400,5.78,8.44,0.0,0.44,450,-1.37,-1.54
PF3D7_0209500,50.99,26.39,0.0,0.2,504,-1.82,-1.73
PF3D7_0209600,12.01,8.13,2.65,0.09,1132,-2.2,-1.89
PF3D7_0209700,45.6,13.38,12.68,1.06,568,-2.24,-1.46
PF3D7_0209800,11.16,9.85,0.0,0.0,457,-99.0,-99.0
PF3D7_0210000,6.17,7.41,0.0,0.0,81,-99.0,-99.0
PF3D7_0210100.1,9.38,9.38,0.0,0.0,96,-99.0,-99.0
PF3D7_0210100.2,8.57,8.57,0.0,0.0,35,-99.0,-99.0
PF3D7_0210200,46.75,22.84,8.31,1.97,2588,-1.49,-1.03
PF3D7_0210300,10.72,2.41,0.0,0.0,457,-1.58,-1.39
PF3D7_0210400,11.76,1.68,0.0,0.84,119,-99.0,-99.0
PF3D7_0210500,15.08,8.84,1.41,0.07,1346,-2.11,-1.63
PF3D7_0210600,14.8,5.61,0.0,0.0,446,-1.67,-1.89
PF3D7_0210700,23.25,3.18,0.0,0.64,314,-99.0,-99.0
PF3D7_0210800,2.41,2.41,0.0,1.2,415,0.17,0.8
PF3D7_0210900,15.85,23.94,0.0,0.0,284,-99.0,-99.0
PF3D7_0211100,2.5,4.73,0.0,0.09,1121,-2.27,-2.13
PF3D7_0211200,20.0,11.49,0.0,0.0,235,-99.0,-99.0
PF3D7_0211300,9.25,4.45,0.0,0.0,292,-99.0,-99.0
PF3D7_0211400,11.05,5.12,0.0,0.0,371,-99.0,-99.0
PF3D7_0211500,24.66,19.12,1.93,0.0,1245,-1.01,-1.03
PF3D7_0211600,17.7,2.87,0.0,0.0,209,-99.0,-99.0
PF3D7_0211700,14.84,10.87,10.54,3.0,1233,-0.25,0.37
PF3D7_0211800,3.93,12.46,0.0,0.0,610,-99.0,-99.0
PF3D7_0211900,14.67,7.33,0.0,0.0,450,-99.0,-99.0
PF3D7_0212000,13.18,1.29,0.0,0.32,311,-1.18,-0.88
PF3D7_0212100,82.43,18.55,22.18,1.3,1844,-2.17,-1.73
PF3D7_0212200,40.0,22.75,0.0,0.39,255,-99.0,-99.0
PF3D7_0212300,11.01,10.07,0.0,0.0,427,-99.0,-99.0
PF3D7_0212400,35.0,14.62,3.79,1.25,4091,-1.72,-1.46
PF3D7_0212500,36.64,18.3,5.59,1.15,3990,-2.03,-1.12
PF3D7_0212600,13.2,13.2,0.0,0.0,250,-99.0,-99.0
PF3D7_0212700,35.57,23.04,18.57,0.67,447,-1.48,-0.4
PF3D7_0212800,25.25,20.18,11.03,0.57,1224,-1.85,-2.01
PF3D7_0212900,13.7,10.41,0.0,0.0,365,-99.0,-99.0
PF3D7_0213000,1.2,2.41,0.0,0.0,166,-99.0,-99.0
PF3D7_0213100,13.72,21.34,0.0,0.0,328,-99.0,-99.0
PF3D7_0213200,0.79,2.38,0.0,0.0,126,-99.0,-99.0
PF3D7_0213300,15.38,5.13,0.0,0.0,78,-99.0,-99.0
PF3D7_0213400,9.04,4.37,0.0,0.0,343,-99.0,-99.0
PF3D7_0213500,25.65,8.91,0.0,0.0,460,-99.0,-99.0
PF3D7_0213600,47.11,10.5,5.13,0.99,2418,-1.66,-1.26
PF3D7_0213700,8.44,9.74,0.0,0.0,154,-99.0,-99.0
PF3D7_0213800,18.98,7.62,2.24,0.15,669,-1.51,-1.65
PF3D7_0213900,58.32,27.1,21.53,1.29,1166,-2.45,-2.08
PF3D7_0214000,6.64,6.83,0.0,0.0,542,-99.0,-99.0
PF3D7_0214100,50.85,22.03,1.22,0.07,1471,-2.38,-2.39
PF3D7_0214200,10.85,5.19,0.0,0.0,212,-99.0,-99.0
PF3D7_0214300,55.96,27.64,27.72,1.76,2500,-2.05,-1.96
PF3D7_0214400,75.12,25.53,3.23,1.62,619,-99.0,-99.0
PF3D7_0214500,1.31,0.98,0.0,0.0,306,-99.0,-99.0
PF3D7_0214600,27.25,20.01,3.44,0.58,1714,-2.49,-1.76
PF3D7_0214700,1.99,2.66,0.0,0.0,301,-99.0,-99.0
PF3D7_0214800,31.58,17.87,8.1,0.58,1371,-1.62,-0.02
PF3D7_0214900,77.47,45.47,17.26,1.79,950,-1.8,-1.45
PF3D7_0215000,14.8,20.9,6.78,0.79,885,-0.25,-0.54
PF3D7_0215100,19.13,12.08,0.0,0.34,298,-99.0,-99.0
PF3D7_0215200,2.46,6.97,0.0,0.41,244,-99.0,-99.0
PF3D7_0215300,22.18,15.54,3.94,2.14,888,-0.68,0.16
PF3D7_0215400,49.07,35.49,23.77,0.93,972,-1.99,-1.73
PF3D7_0215500,19.11,36.91,16.23,1.18,764,-2.04,-1.46
PF3D7_0215600,59.06,43.67,29.28,4.22,403,-99.0,-99.0
PF3D7_0215700,10.97,14.03,0.0,0.0,1340,-1.96,-0.74
PF3D7_0215800,39.49,23.92,0.0,0.56,899,-1.85,-1.85
PF3D7_0215900,10.0,1.92,0.0,0.38,260,-1.86,-1.09
PF3D7_0216000,50.33,22.28,12.37,0.75,1997,-2.04,-1.37
PF3D7_0216100,12.94,5.5,0.0,0.25,1182,-1.89,-1.58
PF3D7_0216200,6.61,14.1,0.0,1.76,227,-99.0,-99.0
PF3D7_0216300,18.61,12.89,4.06,1.38,1381,-2.19,-2.01
PF3D7_0216400,10.8,8.59,1.39,0.0,722,-99.0,-99.0
PF3D7_0216500,15.58,9.01,3.47,0.61,1643,-2.18,-2.02
PF3D7_0216600,40.09,34.55,6.71,0.0,686,-2.35,-1.6
PF3D7_0216700.1,63.49,11.42,4.92,0.14,1383,-99.0,-99.0
PF3D7_0216700.2,37.84,11.47,3.12,0.29,1377,-99.0,-99.0
PF3D7_0216800,40.64,9.71,20.68,1.6,1122,-1.83,-1.9
PF3D7_0216900,38.62,17.67,22.59,0.91,549,-1.86,-1.62
PF3D7_0217000,19.98,6.86,4.82,0.61,976,-1.24,-0.83
PF3D7_0217100,5.63,3.81,0.0,0.0,551,-1.36,-1.89
PF3D7_0217200,21.46,15.02,11.94,1.6,1817,-2.26,-1.73
PF3D7_0217400,4.73,12.16,0.0,0.0,148,-99.0,-99.0
PF3D7_0217500,8.21,8.78,0.0,0.0,524,-99.0,-99.0
PF3D7_0217600,42.16,17.66,9.77,1.4,1710,-1.92,-2.02
PF3D7_0217700,38.03,22.65,0.0,0.43,234,-1.58,-1.28
PF3D7_0217800,7.48,15.89,0.0,0.93,107,-99.0,-99.0
PF3D7_0217900,19.08,4.43,0.0,0.39,519,-99.0,-99.0
PF3D7_0218000,0.3,3.94,0.0,0.0,330,-99.0,-99.0
PF3D7_0218100,5.92,4.79,0.0,0.28,355,-99.0,-99.0
PF3D7_0218200,19.58,24.16,9.29,0.99,807,-2.24,-1.77
PF3D7_0218300,21.47,3.67,4.52,0.28,354,-2.18,-1.55
PF3D7_0218400,25.98,10.85,0.0,0.0,562,-1.7,-1.6
PF3D7_0218500,10.89,10.89,0.0,0.99,101,-99.0,-99.0
PF3D7_0218600,35.46,16.76,2.82,0.67,2380,-2.09,-1.88
PF3D7_0218700,51.87,18.05,0.0,0.0,482,-99.0,-99.0
PF3D7_0219100,2.35,3.29,0.0,0.0,426,-99.0,-99.0
PF3D7_0219200,50.0,41.38,0.0,0.0,58,-99.0,-99.0
PF3D7_0219300,17.99,28.06,0.0,1.44,139,-1.67,-1.39
PF3D7_0219400.1,1.98,8.91,0.0,0.0,101,-99.0,-99.0
PF3D7_0219400.2,8.96,16.42,0.0,0.0,67,-99.0,-99.0
PF3D7_0219500,18.93,7.4,0.0,0.0,338,-99.0,-99.0
PF3D7_0219600,40.04,23.67,0.0,0.0,904,-1.71,-1.2
PF3D7_0219700,35.59,9.83,0.0,0.68,295,0.47,-0.57
PF3D7_0219800,26.65,19.44,0.0,0.31,319,-1.55,-1.24
PF3D7_0219900,3.91,5.65,0.0,0.43,230,-0.64,-0.59
PF3D7_0220000,90.95,18.49,24.45,4.81,1558,-0.92,-0.42
PF3D7_0220100,38.92,15.85,9.13,1.2,997,-1.08,-0.17
PF3D7_0220200,7.22,10.56,0.0,0.0,180,-1.36,-1.73
PF3D7_0220300,6.13,6.6,0.0,0.94,212,-99.0,-99.0
PF3D7_0220400,28.22,9.08,6.27,0.17,606,-2.34,-1.48
PF3D7_0220500,75.28,18.08,33.58,0.0,271,-99.0,-99.0
PF3D7_0220600,4.0,8.0,0.0,0.44,225,-99.0,-99.0
PF3D7_0220700,3.17,10.71,0.0,0.79,252,-1.62,-1.55
PF3D7_0220800,11.25,6.94,1.18,1.6,1440,0.7,0.39
PF3D7_0221000,6.29,6.95,19.87,7.62,302,1.42,2.29
PF3D7_0221200,3.88,2.91,0.0,6.31,206,0.22,0.33
PF3D7_0221400,6.84,3.26,0.0,0.33,307,-99.0,-99.0
PF3D7_0221700,66.47,25.63,23.12,0.96,519,-99.0,-99.0
PF3D7_0222000,10.64,3.9,0.0,0.0,282,-99.0,-99.0
PF3D7_0222100,0.87,8.3,0.0,16.16,229,-99.0,-99.0
PF3D7_0222200,9.13,19.13,0.0,0.43,230,-99.0,-99.0
PF3D7_0222500,3.8,11.39,0.0,18.67,316,-99.0,-99.0
PF3D7_0222600,4.89,7.34,0.0,7.07,368,-99.0,-99.0
PF3D7_0222700,7.76,5.75,0.0,15.23,348,-99.0,-99.0
PF3D7_0222800,7.24,13.49,0.0,11.18,304,-99.0,-99.0
PF3D7_0223100,4.85,6.06,0.0,21.52,330,-99.0,-99.0
PF3D7_0223200,4.64,13.33,0.0,23.48,345,-99.0,-99.0
PF3D7_0223300,18.79,25.06,0.0,7.42,431,-99.0,-99.0
PF3D7_0223400,5.2,7.34,0.0,18.65,327,-99.0,-99.0
PF3D7_0223500,57.74,35.37,0.0,21.77,2177,-99.0,-99.0
PF3D7_0300100,53.33,37.44,0.0,19.38,2209,-99.0,-99.0
PF3D7_0300200,3.99,6.44,0.0,15.95,326,-99.0,-99.0
PF3D7_0300400,9.8,14.86,0.0,21.96,296,-99.0,-99.0
PF3D7_0300500,6.69,13.93,0.0,10.31,359,-99.0,-99.0
PF3D7_0300600,1.43,5.71,0.0,4.29,70,-99.0,-99.0
PF3D7_0300700,4.62,9.24,0.0,13.04,368,-99.0,-99.0
PF3D7_0300800,4.05,7.79,0.0,9.03,321,-99.0,-99.0
PF3D7_0300900,5.09,10.19,0.0,0.0,216,-99.0,-99.0
PF3D7_0301000,11.84,11.11,0.0,0.85,819,-1.55,-0.25
PF3D7_0301100,4.3,2.73,0.0,0.39,256,-99.0,-99.0
PF3D7_0301200,7.54,7.05,0.0,0.16,610,-99.0,-99.0
